id,member_id,visited_at,status,respondent,notes,summary,keywords,images,deleted_at,created_at,updated_at,respondents
l_WbKb6SWABB,fLZFRoXtCLbO,2026-04-04,refused,other,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""駐車場で尋ねたところ人は出てきたが、鈴木さんですかと聞いたら違いますとぶっきらぼうに断られた。坊主の髭面のおじいさん。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:07.478274+00:00,2026-04-04T12:24:07.478274+00:00,"[""other""]"
YPH2bMoPoORA,lWhZZTbjdOCQ,2026-04-04,met_self,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""テスト文章です。"",""type"":""text""}]},{""type"":""paragraph""}]}",,,[],2026-04-05T02:48:06.547+00:00,2026-04-04T14:40:49.529+00:00,2026-04-05T02:48:06.548+00:00,
4C1tuJjF9_xh,Tl6cDk1xo5km,2026-04-04,unknown_address,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""家に行こうとしたが住所がわからず、それっぽい建物はあったが特定できなかった。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:07.633452+00:00,2026-04-04T12:24:07.633452+00:00,
aiF0efMcCSsG,SR496KMjsiVd,2026-04-04,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""竹内ホームという施工系の仕事をしている。玄関先でお土産だけ置いて帰ってきた。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:08.024278+00:00,2026-04-04T12:24:08.024278+00:00,
wDeNG1v0vQkf,8BYIV1qkGG8U,2026-04-04,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""B-101の1階、黒い玄関がある右側の場所。お会いできなかったのでお土産を置いてきた。"",""type"":""text""}]}]}",,,,,2026-04-04T12:24:07.219598+00:00,2026-04-04T12:24:07.219598+00:00,
obYnbu1pP7tZ,lWhZZTbjdOCQ,2026-04-05,unknown_address,,,,,,2026-04-04T16:53:46.086+00:00,2026-04-04T16:36:31.216+00:00,2026-04-04T16:53:46.086+00:00,
9ajkO1UNpOlY,7w9wTbzibrUs,2026-04-05,met_family,family,,,,,2026-04-10T13:17:48.045+00:00,2026-04-05T06:01:40.809+00:00,2026-04-10T13:17:48.045+00:00,"[""family""]"
oLaRlvC6nRTV,lWhZZTbjdOCQ,2026-04-05,met_self,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""テスト"",""type"":""text""}]},{""type"":""paragraph""}]}",,,"[""https://zzkhmocwscuyydyzqpof.supabase.co/storage/v1/object/public/visit-images/visit-images/WvIgWn7blmAD.jpg""]",2026-04-04T16:53:52.948+00:00,2026-04-04T16:47:03.728+00:00,2026-04-04T16:53:52.948+00:00,
OAGwGlPa38h4,7w9wTbzibrUs,2026-04-05,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""立派な一軒家のお家でした。"",""type"":""text""}]},{""type"":""paragraph"",""content"":[{""text"":""奥様が対応してくださって、インターホン越しに夫の方はいない」という風に言われたので、お土産だけを置いて帰りました。"",""type"":""text""}]}]}",,,,,2026-04-05T06:02:53.172+00:00,2026-04-05T06:03:46.688+00:00,
Hf5LKdb-Tdl_,Y1ddepoAGEFG,2026-04-05,met_self,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""201の部屋に行ったけど、転居してました。"",""type"":""text""}]}]}",,,,,2026-04-05T05:55:59.786+00:00,2026-04-05T05:56:23.338+00:00,
AEkSXI2XHwBt,ym-hga-02,2026-04-18,moved,mother,,,,,,2026-04-18T04:41:22.467+00:00,2026-04-18T07:24:57.481+00:00,"[""mother""]"
8zsIQ_Qz-S6F,ym-hga-04,2026-04-18,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""結構年季の入った住宅車の門の前に車が1台あったけど、ピンポンを2回終えても出てこなかった。息子さんは同居されてる感じなのかわかんないけど、家の年代は親の方が住まれているんじゃないかなという感じ"",""type"":""text""}]}]}",,,,,2026-04-18T05:49:43.664+00:00,2026-04-18T07:55:59.336+00:00,
HPjbQ_ZI8LpY,ym-hga-03,2026-04-18,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""一軒家。不在でした。"",""type"":""text""}]}]}",,,,,2026-04-18T06:04:35.102+00:00,2026-04-18T09:15:22.902+00:00,
8RG1dosZFkcY,ym-hga-01,2026-04-18,unknown_address,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""訪問して、住所がわからなかったので、それっぽい家を訪ねた。不在でした。"",""type"":""text""}]},{""type"":""paragraph""},{""type"":""paragraph"",""content"":[{""text"":""立派な住宅街の中で一軒家です。家も新しめ。"",""type"":""text""}]}]}",,,,,2026-04-18T04:53:21.694+00:00,2026-04-18T09:14:57.901+00:00,
qIeQo4E4Go6I,ym-toyo-03,2026-04-25,absent,,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""content"":[{""text"":""集合マンションみたいな形の一番右が高桑さんがいる場所で、3階。ピンポンして不在だったので、お菓子を置いて帰ってきました。"",""type"":""text""}]}]}",,,,,2026-04-25T07:23:38.847+00:00,2026-04-25T09:16:27.104+00:00,
